C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 130, total of 600, loss 0.0037032710388302803
communicate round 131, total of 600, loss 0.0036324087996035814
communicate round 132, total of 600, loss 0.003754988545551896
communicate round 133, total of 600, loss 0.0036599563900381327
communicate round 134, total of 600, loss 0.004139027092605829
communicate round 135, total of 600, loss 0.0040170359425246716
communicate round 136, total of 600, loss 0.004250371363013983
communicate round 137, total of 600, loss 0.00366094964556396
communicate round 138, total of 600, loss 0.004143937956541777
communicate round 139, total of 600, loss 0.003758060047402978
communicate round 140, total of 600, loss 0.003638744354248047
communicate round 141, total of 600, loss 0.003778924932703376
communicate round 142, total of 600, loss 0.00367783778347075
communicate round 143, total of 600, loss 0.004375989083200693
communicate round 144, total of 600, loss 0.003653669496998191
communicate round 145, total of 600, loss 0.003663440467789769
communicate round 146, total of 600, loss 0.0036348989233374596
communicate round 147, total of 600, loss 0.0037522499915212393
communicate round 148, total of 600, loss 0.0038576661609113216
communicate round 149, total of 600, loss 0.0036483637522906065
communicate round 150, total of 600, loss 0.0036809248849749565
communicate round 151, total of 600, loss 0.0037649383302778006
communicate round 152, total of 600, loss 0.003726807190105319
communicate round 153, total of 600, loss 0.004084537737071514
communicate round 154, total of 600, loss 0.005224810913205147
communicate round 155, total of 600, loss 0.0036669315304607153
communicate round 156, total of 600, loss 0.005822797305881977
communicate round 157, total of 600, loss 0.0036543181631714106
communicate round 158, total of 600, loss 0.0036239060573279858
communicate round 159, total of 600, loss 0.00371335307136178
communicate round 160, total of 600, loss 0.0035941607784479856
communicate round 161, total of 600, loss 0.003707753261551261
communicate round 162, total of 600, loss 0.003629035549238324
communicate round 163, total of 600, loss 0.0042579639703035355
communicate round 164, total of 600, loss 0.0036952090449631214
communicate round 165, total of 600, loss 0.0037239918019622564
communicate round 166, total of 600, loss 0.004149131942540407
communicate round 167, total of 600, loss 0.003649691818282008
communicate round 168, total of 600, loss 0.0035828338004648685
communicate round 169, total of 600, loss 0.0035813988652080297
communicate round 170, total of 600, loss 0.0036151944659650326
communicate round 171, total of 600, loss 0.0039899107068777084
communicate round 172, total of 600, loss 0.0036473069339990616
communicate round 173, total of 600, loss 0.003617902984842658
communicate round 174, total of 600, loss 0.003833548864349723
communicate round 175, total of 600, loss 0.003655686043202877
communicate round 176, total of 600, loss 0.003663534065708518
communicate round 177, total of 600, loss 0.0036393089685589075
communicate round 178, total of 600, loss 0.0036449767649173737
communicate round 179, total of 600, loss 0.004495785105973482
communicate round 180, total of 600, loss 0.003779354738071561
communicate round 181, total of 600, loss 0.0036610495299100876
communicate round 182, total of 600, loss 0.0036738598719239235
communicate round 183, total of 600, loss 0.006347257643938065
communicate round 184, total of 600, loss 0.0035915584303438663
communicate round 185, total of 600, loss 0.003575726645067334
communicate round 186, total of 600, loss 0.0035825863014906645
communicate round 187, total of 600, loss 0.0035854277666658163
communicate round 188, total of 600, loss 0.0036067592445760965
communicate round 189, total of 600, loss 0.0036213472485542297
communicate round 190, total of 600, loss 0.003852817229926586
communicate round 191, total of 600, loss 0.0036822103429585695
communicate round 192, total of 600, loss 0.003724353387951851
communicate round 193, total of 600, loss 0.0035762153565883636
communicate round 194, total of 600, loss 0.003643246367573738
communicate round 195, total of 600, loss 0.003561115823686123
communicate round 196, total of 600, loss 0.0035636124666780233
communicate round 197, total of 600, loss 0.005350092425942421
communicate round 198, total of 600, loss 0.0035543846897780895
communicate round 199, total of 600, loss 0.0037196637131273746
communicate round 200, total of 600, loss 0.0035509339068084955
communicate round 201, total of 600, loss 0.00377478520385921
communicate round 202, total of 600, loss 0.0035261623561382294
communicate round 203, total of 600, loss 0.00468529062345624
communicate round 204, total of 600, loss 0.004866081289947033
communicate round 205, total of 600, loss 0.0036125045735388994
communicate round 206, total of 600, loss 0.0035016031470149755
communicate round 207, total of 600, loss 0.003515789285302162
communicate round 208, total of 600, loss 0.0035413631703704596
communicate round 209, total of 600, loss 0.003572226967662573
communicate round 210, total of 600, loss 0.0035517809446901083
communicate round 211, total of 600, loss 0.003573973197489977
communicate round 212, total of 600, loss 0.003574902890250087
communicate round 213, total of 600, loss 0.0035615398082882166
communicate round 214, total of 600, loss 0.004003521520644426
communicate round 215, total of 600, loss 0.0035270664375275373
communicate round 216, total of 600, loss 0.003688056720420718
communicate round 217, total of 600, loss 0.0036656614392995834
communicate round 218, total of 600, loss 0.0035329279489815235
communicate round 219, total of 600, loss 0.003975322004407644
communicate round 220, total of 600, loss 0.0036583547480404377
communicate round 221, total of 600, loss 0.0035418029874563217
communicate round 222, total of 600, loss 0.003567954758182168
communicate round 223, total of 600, loss 0.004148929379880428
communicate round 224, total of 600, loss 0.0035489844158291817
communicate round 225, total of 600, loss 0.0035345391370356083
communicate round 226, total of 600, loss 0.003668448654934764
communicate round 227, total of 600, loss 0.003644512267783284
communicate round 228, total of 600, loss 0.0035311805550009012
communicate round 229, total of 600, loss 0.003688381751999259
communicate round 230, total of 600, loss 0.0040565235540270805
communicate round 231, total of 600, loss 0.0037443414330482483
communicate round 232, total of 600, loss 0.0036175930872559547
communicate round 233, total of 600, loss 0.003652979154139757
communicate round 234, total of 600, loss 0.005355969537049532
communicate round 235, total of 600, loss 0.0036490834318101406
communicate round 236, total of 600, loss 0.0036611948162317276
communicate round 237, total of 600, loss 0.003645071294158697
