C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 1, total of 500, loss 0.007036278024315834
communicate round 2, total of 500, loss 0.00662916898727417
communicate round 3, total of 500, loss 0.006745293270796537
communicate round 4, total of 500, loss 0.006237512454390526
communicate round 5, total of 500, loss 0.005883409641683102
communicate round 6, total of 500, loss 0.006232164334505796
communicate round 7, total of 500, loss 0.005708342883735895
communicate round 8, total of 500, loss 0.005531218368560076
communicate round 9, total of 500, loss 0.005689379293471575
communicate round 10, total of 500, loss 0.006033493671566248
communicate round 11, total of 500, loss 0.005369623191654682
communicate round 12, total of 500, loss 0.005308395251631737
communicate round 13, total of 500, loss 0.0052577052265405655
communicate round 14, total of 500, loss 0.005124586168676615
communicate round 15, total of 500, loss 0.005040991585701704
communicate round 16, total of 500, loss 0.005003571044653654
communicate round 17, total of 500, loss 0.004863937385380268
communicate round 18, total of 500, loss 0.005078367423266172
communicate round 19, total of 500, loss 0.00483729550614953
communicate round 20, total of 500, loss 0.00552562577649951
communicate round 21, total of 500, loss 0.004565671551972628
communicate round 22, total of 500, loss 0.0043821437284350395
communicate round 23, total of 500, loss 0.004516450222581625
communicate round 24, total of 500, loss 0.004437650088220835
communicate round 25, total of 500, loss 0.004091899376362562
communicate round 26, total of 500, loss 0.004215163644403219
communicate round 27, total of 500, loss 0.004184161778539419
communicate round 28, total of 500, loss 0.004030207637697458
communicate round 29, total of 500, loss 0.004126407206058502
communicate round 30, total of 500, loss 0.004152538254857063
communicate round 31, total of 500, loss 0.004090758506208658
communicate round 32, total of 500, loss 0.00427159434184432
communicate round 33, total of 500, loss 0.004093796014785767
communicate round 34, total of 500, loss 0.003963393624871969
communicate round 35, total of 500, loss 0.003942199517041445
communicate round 36, total of 500, loss 0.004028120078146458
communicate round 37, total of 500, loss 0.004406715277582407
communicate round 38, total of 500, loss 0.0040524923242628574
communicate round 39, total of 500, loss 0.00419115973636508
communicate round 40, total of 500, loss 0.003930211532860994
communicate round 41, total of 500, loss 0.003975929692387581
communicate round 42, total of 500, loss 0.0038304547779262066
communicate round 43, total of 500, loss 0.0038098033983260393
communicate round 44, total of 500, loss 0.0038200803101062775
communicate round 45, total of 500, loss 0.0038591232150793076
communicate round 46, total of 500, loss 0.0038729018997401
communicate round 47, total of 500, loss 0.0038504896219819784
communicate round 48, total of 500, loss 0.003785961540415883
communicate round 49, total of 500, loss 0.003920636605471373
communicate round 50, total of 500, loss 0.003993344493210316
communicate round 51, total of 500, loss 0.0038824432995170355
communicate round 52, total of 500, loss 0.0037090906407684088
communicate round 53, total of 500, loss 0.003714128630235791
communicate round 54, total of 500, loss 0.003704127622768283
communicate round 55, total of 500, loss 0.003644645679742098
communicate round 56, total of 500, loss 0.0037051767576485872
communicate round 57, total of 500, loss 0.0036233621649444103
communicate round 58, total of 500, loss 0.0037313641514629126
communicate round 59, total of 500, loss 0.003742585889995098
communicate round 60, total of 500, loss 0.003658750094473362
communicate round 61, total of 500, loss 0.0036378747317939997
communicate round 62, total of 500, loss 0.003671723883599043
communicate round 63, total of 500, loss 0.0036481062415987253
communicate round 64, total of 500, loss 0.0037368452176451683
communicate round 65, total of 500, loss 0.003663468873128295
communicate round 66, total of 500, loss 0.003630048595368862
communicate round 67, total of 500, loss 0.003676587250083685
communicate round 68, total of 500, loss 0.0036736149340867996
communicate round 69, total of 500, loss 0.003638375783339143
communicate round 70, total of 500, loss 0.0036403678823262453
communicate round 71, total of 500, loss 0.003935215994715691
communicate round 72, total of 500, loss 0.0037093821447342634
communicate round 73, total of 500, loss 0.003708135336637497
communicate round 74, total of 500, loss 0.003710912773385644
communicate round 75, total of 500, loss 0.0037862020544707775
communicate round 76, total of 500, loss 0.003967672120779753
communicate round 77, total of 500, loss 0.003780323313549161
communicate round 78, total of 500, loss 0.0039765904657542706
communicate round 79, total of 500, loss 0.0038050420116633177
communicate round 80, total of 500, loss 0.00372081296518445
communicate round 81, total of 500, loss 0.003773139324039221
communicate round 82, total of 500, loss 0.003823608858510852
communicate round 83, total of 500, loss 0.003989018499851227
communicate round 84, total of 500, loss 0.0038648510817438364
communicate round 85, total of 500, loss 0.0037588246632367373
communicate round 86, total of 500, loss 0.003770971205085516
communicate round 87, total of 500, loss 0.003919858019798994
communicate round 88, total of 500, loss 0.0037837871350347996
communicate round 89, total of 500, loss 0.0037504371721297503
communicate round 90, total of 500, loss 0.0039018557872623205
communicate round 91, total of 500, loss 0.00383386155590415
communicate round 92, total of 500, loss 0.003641843795776367
communicate round 93, total of 500, loss 0.0035961640533059835
communicate round 94, total of 500, loss 0.003652665764093399
communicate round 95, total of 500, loss 0.003654016647487879
communicate round 96, total of 500, loss 0.0038303725887089968
communicate round 97, total of 500, loss 0.0038772891275584698
communicate round 98, total of 500, loss 0.0036995448172092438
communicate round 99, total of 500, loss 0.003852864494547248
communicate round 100, total of 500, loss 0.0038562254048883915
communicate round 101, total of 500, loss 0.0036557663697749376
communicate round 102, total of 500, loss 0.003764465218409896
communicate round 103, total of 500, loss 0.003847627667710185
communicate round 104, total of 500, loss 0.004127075430005789
communicate round 105, total of 500, loss 0.003854663809761405
communicate round 106, total of 500, loss 0.003692332888022065
communicate round 107, total of 500, loss 0.00368368998169899
communicate round 108, total of 500, loss 0.0037632673047482967
communicate round 109, total of 500, loss 0.0036742615047842264
communicate round 110, total of 500, loss 0.003736293176189065
communicate round 111, total of 500, loss 0.003826585365459323
communicate round 112, total of 500, loss 0.003695829538628459
communicate round 113, total of 500, loss 0.0035723529290407896
communicate round 114, total of 500, loss 0.0036163388285785913
communicate round 115, total of 500, loss 0.0035815632436424494
communicate round 116, total of 500, loss 0.003709313226863742
communicate round 117, total of 500, loss 0.00359022943302989
communicate round 118, total of 500, loss 0.0036157905124127865
communicate round 119, total of 500, loss 0.003681494388729334
communicate round 120, total of 500, loss 0.003821327816694975
communicate round 121, total of 500, loss 0.0038726322818547487
communicate round 122, total of 500, loss 0.003732286160811782
communicate round 123, total of 500, loss 0.003838103264570236
communicate round 124, total of 500, loss 0.003646990517154336
communicate round 125, total of 500, loss 0.004154176916927099
communicate round 126, total of 500, loss 0.003656815504655242
communicate round 127, total of 500, loss 0.0037897047586739063
communicate round 128, total of 500, loss 0.0036101527512073517
communicate round 129, total of 500, loss 0.0036527756601572037
communicate round 130, total of 500, loss 0.0036670442204922438
communicate round 131, total of 500, loss 0.0036482049617916346
