C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 1, total of 500, loss 0.007345119956880808
communicate round 2, total of 500, loss 0.007865164428949356
communicate round 3, total of 500, loss 0.007311376743018627
communicate round 4, total of 500, loss 0.0074577610939741135
communicate round 5, total of 500, loss 0.007178549189120531
communicate round 6, total of 500, loss 0.00711158337071538
communicate round 7, total of 500, loss 0.007075637578964233
communicate round 8, total of 500, loss 0.0070581561885774136
communicate round 9, total of 500, loss 0.007042225915938616
communicate round 10, total of 500, loss 0.00701180612668395
communicate round 11, total of 500, loss 0.007546569220721722
communicate round 12, total of 500, loss 0.007446322124451399
communicate round 13, total of 500, loss 0.0072042983956635
communicate round 14, total of 500, loss 0.0076294708997011185
communicate round 15, total of 500, loss 0.00721493037417531
communicate round 16, total of 500, loss 0.007261657156050205
communicate round 17, total of 500, loss 0.008219175972044468
communicate round 18, total of 500, loss 0.006895126774907112
communicate round 19, total of 500, loss 0.0075563592836260796
communicate round 20, total of 500, loss 0.006641823798418045
communicate round 21, total of 500, loss 0.007924952544271946
communicate round 22, total of 500, loss 0.007259391248226166
communicate round 23, total of 500, loss 0.0077535733580589294
communicate round 24, total of 500, loss 0.00737193925306201
communicate round 25, total of 500, loss 0.006767593324184418
communicate round 26, total of 500, loss 0.006661237217485905
communicate round 27, total of 500, loss 0.006818166933953762
communicate round 28, total of 500, loss 0.006487736478447914
communicate round 29, total of 500, loss 0.007026354316622019
communicate round 30, total of 500, loss 0.006738486234098673
communicate round 31, total of 500, loss 0.006477136630564928
communicate round 32, total of 500, loss 0.006273216102272272
communicate round 33, total of 500, loss 0.006585287861526012
communicate round 34, total of 500, loss 0.0063414438627660275
communicate round 35, total of 500, loss 0.006293120328336954
communicate round 36, total of 500, loss 0.006435977295041084
communicate round 37, total of 500, loss 0.006400161888450384
communicate round 38, total of 500, loss 0.006583351641893387
communicate round 39, total of 500, loss 0.00608642864972353
communicate round 40, total of 500, loss 0.006153116934001446
communicate round 41, total of 500, loss 0.00606399355456233
communicate round 42, total of 500, loss 0.005978125147521496
communicate round 43, total of 500, loss 0.005902848206460476
communicate round 44, total of 500, loss 0.005963308271020651
communicate round 45, total of 500, loss 0.005810381844639778
communicate round 46, total of 500, loss 0.0058159600012004375
communicate round 47, total of 500, loss 0.006229658145457506
communicate round 48, total of 500, loss 0.006350044161081314
communicate round 49, total of 500, loss 0.005672142840921879
communicate round 50, total of 500, loss 0.006202322896569967
communicate round 51, total of 500, loss 0.0058146934024989605
communicate round 52, total of 500, loss 0.006017943844199181
communicate round 53, total of 500, loss 0.005767513997852802
communicate round 54, total of 500, loss 0.006205250509083271
communicate round 55, total of 500, loss 0.0064249723218381405
