C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 130, total of 500, loss 0.005853804759681225
communicate round 131, total of 500, loss 0.005843093153089285
communicate round 132, total of 500, loss 0.010147378779947758
communicate round 133, total of 500, loss 0.006689875852316618
communicate round 134, total of 500, loss 0.005980486981570721
communicate round 135, total of 500, loss 0.005665708798915148
communicate round 136, total of 500, loss 0.0058379266411066055
communicate round 137, total of 500, loss 0.005555420182645321
communicate round 138, total of 500, loss 0.005542730912566185
communicate round 139, total of 500, loss 0.006056261248886585
communicate round 140, total of 500, loss 0.011989081278443336
communicate round 141, total of 500, loss 0.00557923736050725
communicate round 142, total of 500, loss 0.00547646451741457
communicate round 143, total of 500, loss 0.00570820365101099
communicate round 144, total of 500, loss 0.005945396609604359
communicate round 145, total of 500, loss 0.005665978416800499
communicate round 146, total of 500, loss 0.005494869314134121
communicate round 147, total of 500, loss 0.008316279388964176
communicate round 148, total of 500, loss 0.006029792129993439
communicate round 149, total of 500, loss 0.00558440899476409
communicate round 150, total of 500, loss 0.006249534897506237
communicate round 151, total of 500, loss 0.005399095825850964
communicate round 152, total of 500, loss 0.005409013479948044
communicate round 153, total of 500, loss 0.006947468966245651
communicate round 154, total of 500, loss 0.005367754492908716
communicate round 155, total of 500, loss 0.005675925873219967
communicate round 156, total of 500, loss 0.005422011483460665
communicate round 157, total of 500, loss 0.006656088400632143
communicate round 158, total of 500, loss 0.005377717781811953
communicate round 159, total of 500, loss 0.008962550200521946
communicate round 160, total of 500, loss 0.005353603512048721
communicate round 161, total of 500, loss 0.005439994856715202
communicate round 162, total of 500, loss 0.0053483243100345135
communicate round 163, total of 500, loss 0.005354898516088724
communicate round 164, total of 500, loss 0.005404578056186438
communicate round 165, total of 500, loss 0.005375681910663843
communicate round 166, total of 500, loss 0.005440990906208754
communicate round 167, total of 500, loss 0.006044553592801094
communicate round 168, total of 500, loss 0.005887788254767656
communicate round 169, total of 500, loss 0.005367112811654806
communicate round 170, total of 500, loss 0.005323958117514849
communicate round 171, total of 500, loss 0.0059128813445568085
communicate round 172, total of 500, loss 0.005456394050270319
communicate round 173, total of 500, loss 0.00607454776763916
communicate round 174, total of 500, loss 0.005752085242420435
communicate round 175, total of 500, loss 0.010099172592163086
communicate round 176, total of 500, loss 0.005340426694601774
communicate round 177, total of 500, loss 0.005557626951485872
communicate round 178, total of 500, loss 0.006729472428560257
communicate round 179, total of 500, loss 0.005669197533279657
communicate round 180, total of 500, loss 0.005316440016031265
communicate round 181, total of 500, loss 0.005894786212593317
communicate round 182, total of 500, loss 0.007298126816749573
communicate round 183, total of 500, loss 0.009479453787207603
communicate round 184, total of 500, loss 0.005685508716851473
communicate round 185, total of 500, loss 0.005248331464827061
communicate round 186, total of 500, loss 0.005211012437939644
communicate round 187, total of 500, loss 0.007368667051196098
communicate round 188, total of 500, loss 0.0051800888031721115
communicate round 189, total of 500, loss 0.006455902475863695
communicate round 190, total of 500, loss 0.007640973199158907
communicate round 191, total of 500, loss 0.006137315183877945
communicate round 192, total of 500, loss 0.005919652059674263
communicate round 193, total of 500, loss 0.005201933905482292
communicate round 194, total of 500, loss 0.0051995087414979935
communicate round 195, total of 500, loss 0.006765293888747692
communicate round 196, total of 500, loss 0.006523584946990013
communicate round 197, total of 500, loss 0.00525311753153801
communicate round 198, total of 500, loss 0.006182676646858454
communicate round 199, total of 500, loss 0.0052250102162361145
communicate round 200, total of 500, loss 0.005710090976208448
communicate round 201, total of 500, loss 0.005747706163674593
communicate round 202, total of 500, loss 0.005180745851248503
communicate round 203, total of 500, loss 0.005238148383796215
communicate round 204, total of 500, loss 0.008439186960458755
communicate round 205, total of 500, loss 0.005155461840331554
communicate round 206, total of 500, loss 0.005202926229685545
communicate round 207, total of 500, loss 0.005450952332466841
communicate round 208, total of 500, loss 0.005499136168509722
communicate round 209, total of 500, loss 0.005125018302351236
communicate round 210, total of 500, loss 0.005226621404290199
communicate round 211, total of 500, loss 0.007109287194907665
communicate round 212, total of 500, loss 0.0051956381648778915
communicate round 213, total of 500, loss 0.005163038149476051
communicate round 214, total of 500, loss 0.005164100788533688
communicate round 215, total of 500, loss 0.0055300164967775345
communicate round 216, total of 500, loss 0.005195728037506342
communicate round 217, total of 500, loss 0.006313798949122429
communicate round 218, total of 500, loss 0.005364128854125738
communicate round 219, total of 500, loss 0.005186889786273241
communicate round 220, total of 500, loss 0.010541772469878197
communicate round 221, total of 500, loss 0.005133301950991154
communicate round 222, total of 500, loss 0.005145219620317221
communicate round 223, total of 500, loss 0.0053217592649161816
communicate round 224, total of 500, loss 0.005167929921299219
communicate round 225, total of 500, loss 0.005479664541780949
communicate round 226, total of 500, loss 0.005274259950965643
communicate round 227, total of 500, loss 0.0051467567682266235
communicate round 228, total of 500, loss 0.006362895015627146
communicate round 229, total of 500, loss 0.005130982957780361
communicate round 230, total of 500, loss 0.005289614666253328
communicate round 231, total of 500, loss 0.005117049906402826
communicate round 232, total of 500, loss 0.0053814672864973545
communicate round 233, total of 500, loss 0.005451570730656385
communicate round 234, total of 500, loss 0.005168491043150425
communicate round 235, total of 500, loss 0.009504901245236397
communicate round 236, total of 500, loss 0.005979081615805626
communicate round 237, total of 500, loss 0.00682519655674696
communicate round 238, total of 500, loss 0.005093253683298826
communicate round 239, total of 500, loss 0.0061233737505972385
communicate round 240, total of 500, loss 0.006603726651519537
communicate round 241, total of 500, loss 0.005042743869125843
communicate round 242, total of 500, loss 0.005142694339156151
communicate round 243, total of 500, loss 0.005070904269814491
communicate round 244, total of 500, loss 0.005647488869726658
communicate round 245, total of 500, loss 0.005110811907798052
communicate round 246, total of 500, loss 0.005220112390816212
communicate round 247, total of 500, loss 0.00505307549610734
communicate round 248, total of 500, loss 0.005048469174653292
communicate round 249, total of 500, loss 0.005054531153291464
communicate round 250, total of 500, loss 0.005085858516395092
communicate round 251, total of 500, loss 0.005423014983534813
communicate round 252, total of 500, loss 0.008556394837796688
communicate round 253, total of 500, loss 0.0052609615959227085
communicate round 254, total of 500, loss 0.005052599124610424
communicate round 255, total of 500, loss 0.005031633656471968
communicate round 256, total of 500, loss 0.005035582929849625
communicate round 257, total of 500, loss 0.005587168503552675
communicate round 258, total of 500, loss 0.0056681763380765915
communicate round 259, total of 500, loss 0.007841444574296474
communicate round 260, total of 500, loss 0.005012535490095615
communicate round 261, total of 500, loss 0.007055674679577351
communicate round 262, total of 500, loss 0.004936841782182455
communicate round 263, total of 500, loss 0.00495130755007267
communicate round 264, total of 500, loss 0.004919605329632759
communicate round 265, total of 500, loss 0.005209774244576693
communicate round 266, total of 500, loss 0.005533520597964525
communicate round 267, total of 500, loss 0.00888985488563776
communicate round 268, total of 500, loss 0.0050806268118321896
communicate round 269, total of 500, loss 0.00839758850634098
communicate round 270, total of 500, loss 0.004839222878217697
communicate round 271, total of 500, loss 0.004908553324639797
communicate round 272, total of 500, loss 0.005091850180178881
communicate round 273, total of 500, loss 0.005256765056401491
communicate round 274, total of 500, loss 0.005020335782319307
communicate round 275, total of 500, loss 0.004847224801778793
communicate round 276, total of 500, loss 0.005048598162829876
communicate round 277, total of 500, loss 0.004852992948144674
communicate round 278, total of 500, loss 0.0048629590310156345
communicate round 279, total of 500, loss 0.004857353400439024
communicate round 280, total of 500, loss 0.00585560966283083
communicate round 281, total of 500, loss 0.005148247815668583
communicate round 282, total of 500, loss 0.004841584246605635
communicate round 283, total of 500, loss 0.004881022498011589
communicate round 284, total of 500, loss 0.006058222614228725
communicate round 285, total of 500, loss 0.0062944828532636166
communicate round 286, total of 500, loss 0.005963135976344347
communicate round 287, total of 500, loss 0.004876479506492615
communicate round 288, total of 500, loss 0.0048422859981656075
communicate round 289, total of 500, loss 0.004843534901738167
communicate round 290, total of 500, loss 0.004925040062516928
communicate round 291, total of 500, loss 0.006977747660130262
communicate round 292, total of 500, loss 0.004895336925983429
communicate round 293, total of 500, loss 0.005142498761415482
communicate round 294, total of 500, loss 0.004933418706059456
communicate round 295, total of 500, loss 0.005192681681364775
communicate round 296, total of 500, loss 0.004812100902199745
communicate round 297, total of 500, loss 0.010111620649695396
communicate round 298, total of 500, loss 0.004876686725765467
communicate round 299, total of 500, loss 0.007126795593649149
communicate round 300, total of 500, loss 0.005517913028597832
communicate round 301, total of 500, loss 0.005454446189105511
communicate round 302, total of 500, loss 0.004730674903839827
communicate round 303, total of 500, loss 0.004697837401181459
communicate round 304, total of 500, loss 0.004719703923910856
communicate round 305, total of 500, loss 0.004700128920376301
communicate round 306, total of 500, loss 0.004761525429785252
communicate round 307, total of 500, loss 0.005136449821293354
communicate round 308, total of 500, loss 0.004908905364573002
communicate round 309, total of 500, loss 0.004782591015100479
communicate round 310, total of 500, loss 0.007638090290129185
communicate round 311, total of 500, loss 0.004883191082626581
communicate round 312, total of 500, loss 0.00567163759842515
communicate round 313, total of 500, loss 0.006808688398450613
communicate round 314, total of 500, loss 0.005086927674710751
communicate round 315, total of 500, loss 0.00478544132784009
communicate round 316, total of 500, loss 0.005367685575038195
communicate round 317, total of 500, loss 0.00479543162509799
communicate round 318, total of 500, loss 0.004735367372632027
communicate round 319, total of 500, loss 0.005049753002822399
communicate round 320, total of 500, loss 0.0051577468402683735
communicate round 321, total of 500, loss 0.0047327447682619095
communicate round 322, total of 500, loss 0.0049041761085391045
communicate round 323, total of 500, loss 0.004736362025141716
communicate round 324, total of 500, loss 0.004747590981423855
communicate round 325, total of 500, loss 0.006326945964246988
communicate round 326, total of 500, loss 0.008144799619913101
communicate round 327, total of 500, loss 0.009332504123449326
communicate round 328, total of 500, loss 0.004666691645979881
communicate round 329, total of 500, loss 0.00535025168210268
communicate round 330, total of 500, loss 0.0047798254527151585
communicate round 331, total of 500, loss 0.004943826235830784
communicate round 332, total of 500, loss 0.004924997687339783
communicate round 333, total of 500, loss 0.005056352820247412
communicate round 334, total of 500, loss 0.004836015868932009
communicate round 335, total of 500, loss 0.004698202479630709
communicate round 336, total of 500, loss 0.004887934774160385
communicate round 337, total of 500, loss 0.006707923952490091
communicate round 338, total of 500, loss 0.004759876988828182
communicate round 339, total of 500, loss 0.004832429811358452
communicate round 340, total of 500, loss 0.004686048720031977
communicate round 341, total of 500, loss 0.0055808573961257935
communicate round 342, total of 500, loss 0.006647116504609585
communicate round 343, total of 500, loss 0.004610788077116013
communicate round 344, total of 500, loss 0.004606866743415594
communicate round 345, total of 500, loss 0.0051307822577655315
communicate round 346, total of 500, loss 0.004617143422365189
communicate round 347, total of 500, loss 0.004640445113182068
communicate round 348, total of 500, loss 0.004627160262316465
communicate round 349, total of 500, loss 0.005017372313886881
communicate round 350, total of 500, loss 0.005639331415295601
communicate round 351, total of 500, loss 0.004606925416737795
communicate round 352, total of 500, loss 0.005164311733096838
communicate round 353, total of 500, loss 0.0048148189671337605
communicate round 354, total of 500, loss 0.005792754702270031
communicate round 355, total of 500, loss 0.004572510253638029
communicate round 356, total of 500, loss 0.004591749049723148
communicate round 357, total of 500, loss 0.005531970411539078
communicate round 358, total of 500, loss 0.004623357206583023
communicate round 359, total of 500, loss 0.004580490756779909
communicate round 360, total of 500, loss 0.006610980723053217
communicate round 361, total of 500, loss 0.004499457776546478
communicate round 362, total of 500, loss 0.004620468243956566
communicate round 363, total of 500, loss 0.0049044485203921795
communicate round 364, total of 500, loss 0.004581557121127844
communicate round 365, total of 500, loss 0.004736886825412512
communicate round 366, total of 500, loss 0.004640762694180012
communicate round 367, total of 500, loss 0.004824454430490732
communicate round 368, total of 500, loss 0.00457885954529047
communicate round 369, total of 500, loss 0.004603828303515911
communicate round 370, total of 500, loss 0.0046407198533415794
communicate round 371, total of 500, loss 0.004591461271047592
communicate round 372, total of 500, loss 0.004605071619153023
communicate round 373, total of 500, loss 0.009610502049326897
communicate round 374, total of 500, loss 0.004679623991250992
communicate round 375, total of 500, loss 0.007568572647869587
communicate round 376, total of 500, loss 0.004512760788202286
communicate round 377, total of 500, loss 0.004564970266073942
communicate round 378, total of 500, loss 0.00440088240429759
communicate round 379, total of 500, loss 0.0045807575806975365
communicate round 380, total of 500, loss 0.004404664039611816
communicate round 381, total of 500, loss 0.004417653661221266
communicate round 382, total of 500, loss 0.004446886014193296
communicate round 383, total of 500, loss 0.004781622905284166
communicate round 384, total of 500, loss 0.004417268093675375
communicate round 385, total of 500, loss 0.004413416609168053
communicate round 386, total of 500, loss 0.004552725702524185
communicate round 387, total of 500, loss 0.004376732278615236
communicate round 388, total of 500, loss 0.004554015584290028
communicate round 389, total of 500, loss 0.007762074004858732
communicate round 390, total of 500, loss 0.004315693397074938
communicate round 391, total of 500, loss 0.004316598176956177
communicate round 392, total of 500, loss 0.004383966792374849
communicate round 393, total of 500, loss 0.004313786048442125
