C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 1, total of 500, loss 0.0071096462197601795
communicate round 2, total of 500, loss 0.007103745825588703
communicate round 3, total of 500, loss 0.0071023316122591496
communicate round 4, total of 500, loss 0.007451822515577078
communicate round 5, total of 500, loss 0.0071113272570073605
communicate round 6, total of 500, loss 0.007100049406290054
communicate round 7, total of 500, loss 0.007502886466681957
communicate round 8, total of 500, loss 0.007122572045773268
communicate round 9, total of 500, loss 0.007842833176255226
communicate round 10, total of 500, loss 0.007059809751808643
communicate round 11, total of 500, loss 0.007600503508001566
communicate round 12, total of 500, loss 0.007660715375095606
communicate round 13, total of 500, loss 0.00726271653547883
communicate round 14, total of 500, loss 0.007777470164000988
communicate round 15, total of 500, loss 0.007157852407544851
communicate round 16, total of 500, loss 0.007122160866856575
communicate round 17, total of 500, loss 0.007477496284991503
communicate round 18, total of 500, loss 0.007113579660654068
communicate round 19, total of 500, loss 0.0071730948984622955
communicate round 20, total of 500, loss 0.007783949375152588
communicate round 21, total of 500, loss 0.00841513555496931
communicate round 22, total of 500, loss 0.007541412953287363
communicate round 23, total of 500, loss 0.007218293379992247
communicate round 24, total of 500, loss 0.00729137659072876
communicate round 25, total of 500, loss 0.007701420225203037
communicate round 26, total of 500, loss 0.007587557192891836
communicate round 27, total of 500, loss 0.007002306170761585
communicate round 28, total of 500, loss 0.007186138536781073
communicate round 29, total of 500, loss 0.006962379440665245
communicate round 30, total of 500, loss 0.008072375319898129
communicate round 31, total of 500, loss 0.007008058484643698
communicate round 32, total of 500, loss 0.007551207207143307
communicate round 33, total of 500, loss 0.007265920750796795
communicate round 34, total of 500, loss 0.007208341266959906
communicate round 35, total of 500, loss 0.00712792482227087
communicate round 36, total of 500, loss 0.008134211413562298
communicate round 37, total of 500, loss 0.006985239218920469
communicate round 38, total of 500, loss 0.0068581667728722095
communicate round 39, total of 500, loss 0.007189530413597822
communicate round 40, total of 500, loss 0.007183547597378492
communicate round 41, total of 500, loss 0.00685723964124918
communicate round 42, total of 500, loss 0.0068511273711919785
communicate round 43, total of 500, loss 0.006932144518941641
communicate round 44, total of 500, loss 0.006887705065310001
communicate round 45, total of 500, loss 0.00732529116794467
communicate round 46, total of 500, loss 0.007203185465186834
communicate round 47, total of 500, loss 0.007078271824866533
communicate round 48, total of 500, loss 0.006986173335462809
communicate round 49, total of 500, loss 0.00827269721776247
communicate round 50, total of 500, loss 0.008019104599952698
communicate round 51, total of 500, loss 0.006968277506530285
communicate round 52, total of 500, loss 0.006836093496531248
communicate round 53, total of 500, loss 0.007031343411654234
communicate round 54, total of 500, loss 0.0072228251956403255
communicate round 55, total of 500, loss 0.0071619972586631775
communicate round 56, total of 500, loss 0.007730191107839346
communicate round 57, total of 500, loss 0.0066949063912034035
communicate round 58, total of 500, loss 0.006866910960525274
communicate round 59, total of 500, loss 0.006793301552534103
communicate round 60, total of 500, loss 0.0078323595225811
communicate round 61, total of 500, loss 0.006746075116097927
communicate round 62, total of 500, loss 0.006964212283492088
communicate round 63, total of 500, loss 0.006710040848702192
communicate round 64, total of 500, loss 0.006833628751337528
communicate round 65, total of 500, loss 0.0066004605032503605
communicate round 66, total of 500, loss 0.006586168892681599
communicate round 67, total of 500, loss 0.006674999836832285
communicate round 68, total of 500, loss 0.00718511501327157
communicate round 69, total of 500, loss 0.006608074530959129
communicate round 70, total of 500, loss 0.007466109469532967
communicate round 71, total of 500, loss 0.007069138810038567
communicate round 72, total of 500, loss 0.006365039385855198
communicate round 73, total of 500, loss 0.006336930673569441
communicate round 74, total of 500, loss 0.006327151786535978
communicate round 75, total of 500, loss 0.006340659689158201
communicate round 76, total of 500, loss 0.007722317706793547
communicate round 77, total of 500, loss 0.006378513760864735
communicate round 78, total of 500, loss 0.006701864302158356
communicate round 79, total of 500, loss 0.006437073927372694
communicate round 80, total of 500, loss 0.0070615909062325954
communicate round 81, total of 500, loss 0.006237208377569914
communicate round 82, total of 500, loss 0.006554036866873503
communicate round 83, total of 500, loss 0.006187934894114733
communicate round 84, total of 500, loss 0.00631705904379487
communicate round 85, total of 500, loss 0.006191555876284838
communicate round 86, total of 500, loss 0.006244349759072065
communicate round 87, total of 500, loss 0.0060111405327916145
communicate round 88, total of 500, loss 0.005980524700134993
communicate round 89, total of 500, loss 0.007202559150755405
communicate round 90, total of 500, loss 0.005930673331022263
communicate round 91, total of 500, loss 0.005895446985960007
communicate round 92, total of 500, loss 0.0062605408020317554
communicate round 93, total of 500, loss 0.007550449576228857
communicate round 94, total of 500, loss 0.006123501807451248
communicate round 95, total of 500, loss 0.006090744398534298
communicate round 96, total of 500, loss 0.0063405632972717285
communicate round 97, total of 500, loss 0.006369232665747404
communicate round 98, total of 500, loss 0.005742914509028196
communicate round 99, total of 500, loss 0.005726478528231382
communicate round 100, total of 500, loss 0.005759750958532095
communicate round 101, total of 500, loss 0.005696957930922508
communicate round 102, total of 500, loss 0.0056569441221654415
communicate round 103, total of 500, loss 0.005627667065709829
communicate round 104, total of 500, loss 0.0057196179404854774
communicate round 105, total of 500, loss 0.0056159645318984985
communicate round 106, total of 500, loss 0.006888298783451319
communicate round 107, total of 500, loss 0.0056350757367908955
communicate round 108, total of 500, loss 0.005574788432568312
communicate round 109, total of 500, loss 0.005865226499736309
communicate round 110, total of 500, loss 0.00556202745065093
communicate round 111, total of 500, loss 0.00549596780911088
communicate round 112, total of 500, loss 0.005659222137182951
