C:\Users\heyu1\miniconda3\envs\torch\python.exe C:/Users/heyu1/PycharmProjects/meta_learning/fl_2.py
the number of edge 60 
communicate round 1, total of 500, loss 0.009451908990740776
communicate round 2, total of 500, loss 0.007773056160658598
communicate round 3, total of 500, loss 0.0075955986976623535
communicate round 4, total of 500, loss 0.007754662074148655
communicate round 5, total of 500, loss 0.008334741927683353
communicate round 6, total of 500, loss 0.0071385628543794155
communicate round 7, total of 500, loss 0.007080833427608013
communicate round 8, total of 500, loss 0.006666834931820631
communicate round 9, total of 500, loss 0.006604094989597797
communicate round 10, total of 500, loss 0.007219360210001469
communicate round 11, total of 500, loss 0.006361352279782295
communicate round 12, total of 500, loss 0.006206499878317118
communicate round 13, total of 500, loss 0.00609380891546607
communicate round 14, total of 500, loss 0.005894579458981752
communicate round 15, total of 500, loss 0.005801558960229158
communicate round 16, total of 500, loss 0.005816340912133455
communicate round 17, total of 500, loss 0.0056669628247618675
communicate round 18, total of 500, loss 0.00569870974868536
communicate round 19, total of 500, loss 0.005713257938623428
communicate round 20, total of 500, loss 0.0062009780667722225
communicate round 21, total of 500, loss 0.0052844383753836155
communicate round 22, total of 500, loss 0.005409591365605593
communicate round 23, total of 500, loss 0.005385493393987417
communicate round 24, total of 500, loss 0.005087156314402819
communicate round 25, total of 500, loss 0.005228227004408836
communicate round 26, total of 500, loss 0.0050089359283447266
communicate round 27, total of 500, loss 0.005143447779119015
communicate round 28, total of 500, loss 0.004894869402050972
communicate round 29, total of 500, loss 0.004891357850283384
communicate round 30, total of 500, loss 0.0049529061652719975
communicate round 31, total of 500, loss 0.00494944816455245
communicate round 32, total of 500, loss 0.00474016647785902
communicate round 33, total of 500, loss 0.004710881970822811
communicate round 34, total of 500, loss 0.004603334236890078
communicate round 35, total of 500, loss 0.0047036269679665565
communicate round 36, total of 500, loss 0.004579939413815737
communicate round 37, total of 500, loss 0.004575088620185852
communicate round 38, total of 500, loss 0.004494281951338053
communicate round 39, total of 500, loss 0.004513158462941647
communicate round 40, total of 500, loss 0.004400412552058697
communicate round 41, total of 500, loss 0.004321865271776915
communicate round 42, total of 500, loss 0.0043334681540727615
communicate round 43, total of 500, loss 0.004233826417475939
communicate round 44, total of 500, loss 0.00427904212847352
communicate round 45, total of 500, loss 0.004330156836658716
communicate round 46, total of 500, loss 0.00419970415532589
communicate round 47, total of 500, loss 0.0040727537125349045
communicate round 48, total of 500, loss 0.004045397974550724
communicate round 49, total of 500, loss 0.004020152613520622
communicate round 50, total of 500, loss 0.0039479173719882965
communicate round 51, total of 500, loss 0.00413552625104785
communicate round 52, total of 500, loss 0.003870063927024603
communicate round 53, total of 500, loss 0.003790420014411211
communicate round 54, total of 500, loss 0.0037928984966129065
communicate round 55, total of 500, loss 0.003807554254308343
communicate round 56, total of 500, loss 0.003882226999849081
communicate round 57, total of 500, loss 0.0037619073409587145
communicate round 58, total of 500, loss 0.003753939876332879
communicate round 59, total of 500, loss 0.003933368716388941
communicate round 60, total of 500, loss 0.0037501926999539137
communicate round 61, total of 500, loss 0.003863162826746702
communicate round 62, total of 500, loss 0.003744488814845681
communicate round 63, total of 500, loss 0.0037712929770350456
communicate round 64, total of 500, loss 0.0038098653312772512
communicate round 65, total of 500, loss 0.0039006511215120554
communicate round 66, total of 500, loss 0.00370714720338583
communicate round 67, total of 500, loss 0.0038329516537487507
communicate round 68, total of 500, loss 0.003712155157700181
communicate round 69, total of 500, loss 0.0037359027191996574
communicate round 70, total of 500, loss 0.00380080658942461
communicate round 71, total of 500, loss 0.003834214061498642
